traits	PB1
B/Osaka/547/1997_1997	V
B/Brisbane/60-2/2010_2010-11-09	V
B/Missouri/03/2011_2011-03-01	V
B/Henan/22/97_1997	V
B/Brisbane/60-3/2010_2010-11-23	V
B/Mississippi/UR06-0340/2007_2007-02-19	V
B/Tennessee/UR06-0105/2007_2007-01-29	V
B/Hong_Kong/123/2001_2001-02-23	V
B/Perth/25/2002_2002-07-09	V
B/Nepal/1331/2005_2005-07-13	V
B/Texas/37/1988_1988	V
B/Aichi/5/88_1988	V
B/St._Petersburg/14/2006_2006-03-14	V
B/Nanchang/630/94_1994	V
B/Shanghai-Baoshan/152/2011_2011-02-09	V
B/Houston/B75/2002_2002-03-20	V
B/Shanghai-Luwan/1169/2011_2011-04-05	V
B/Temple/B20/2003_2003	V
B/Nevada/11/2011_2011-03-14	V
B/Utah/03/2011_2011-02-21	V
B/Geneva/5079/03_2003	V
B/Taiwan/37/2007_2007-01-12	V
B/Fujian-Gulou/1174/2011_2011-03-09	V
B/Managua/4403.06/2010_2010-09-02	V
B/Mississippi/UR06-0348/2007_2007-02-20	V
B/Illinois/47/2005_2005-03-07	V
B/Texas/14/1991_1991-01-11	V
B/Hunan-Yuhua/1316/2011_2011-06-02	V
B/Ohio/UR06-0410/2007_2007-02-23	V
B/Brisbane/60-1/2010_2010-10-07	V
B/Georgia/NHRC0001/2006_2006-05-29	V
B/North_Carolina/04/2011_2011-01-26	V
B/Managua/2826.02/2010_2010-08-11	V
B/Virginia/03/2011_2011-02-16	V
B/Taiwan/94/2005_2005-01-10	V
B/Managua/4834.02/2010_2010-08-03	V
B/Jiangsu-Nanjinggulou/1655/2011_2011-05-20	V
B/Guangxi-Xixiangtang/1455/2010_2010-06-18	V
B/Shaanxi-Beilin/1230/2011_2011-03-02	V
B/Managua/4942.04/2010_2010-09-17	V
B/Bangkok/163/1990_1990	V
B/Connecticut/02/1995_1995-01-05	V
B/Memphis/13/03_2003	V
B/Tennessee/UR06-0261/2007_2007-02-13	V
B/Taiwan/2643/2002_2002-05-21	V
B/Johannesburg/06/1994_1994	V
B/Shanghai-Songjiang/176/2011_2011-02-10	V
B/Tennessee/UR06-0460/2007_2007-02-27	V
B/North_Carolina/22/2011_2011-01-13	V
B/Temple/B30/2003_2003	V
B/Mississippi/UR06-0317/2007_2007-02-15	V
B/Guizhou-Nanming/1443/2010_2010-06-07	V
B/Virginia/05/2011_2011-02-04	V
B/Hunan-Hecheng/1104/2011_2011-03-15	V
B/Texas/NHRC0001/2006_2006-04-05	V
B/Ohio/UR06-0572/2007_2007-03-12	V
B/Virginia/04/2011_2011-01-31	V
B/Georgia/NHRC0001/2003_2003-01-16	V
B/Managua/3323.01/2010_2010-08-25	V
B/Managua/5227.05/2010_2010-08-31	V
B/Sichuan-Wenjiang/279/2011_2011-05-04	V
B/Taiwan/2755/2006_2006-11-11	V
B/Taiwan/70028/2007_2007-01-04	V
B/Virginia/01/2011_2011-01-25	V
B/Fujian-Cangshan/192/2011_2011-02-27	V
B/Taiwan/3246/2002_2002-06-13	V
B/Taiwan/45/2007_2007-01-03	V
B/Jiangsu-Beitang/1141/2011_2011-04-07	V
B/VICTORIA/304/2006_2006-06-06	V
B/Managua/5590.04/2010_2010-06-04	V
B/PHILIPPINES/3701/2011_2011-10-06	V
B/Taiwan/40/2007_2007-01-13	V
B/Illinois/13/2005_2005-02-03	V
B/Managua/164.02/2010_2010-07-26	V
B/Houston/B71/2002_2002-02-23	V
B/Illinois/NHRC0001/2003_2003-02-24	V
B/Anhui-Luyang/1142/2011_2011-05-03	V
B/Tennessee/UR06-0320/2007_2007-02-15	V
B/Managua/1504.03/2010_2010-08-20	V
B/Hong_Kong/1434/2002_2002-01-18	V
B/Hong_Kong/1115/2002_2002-01-15	V
B/Jiangsu-Chongchuan/11150/2011_2011-06-27	V
B/Boston/DB02/2011_2011-03-18	V
B/Maine/05/2011_2011-03-08	V
B/Houston/B79/2003_2003	V
B/Managua/4468.03/2010_2010-10-11	V
B/Mississippi/UR06-0492/2007_2007-03-02	V
B/Hunan-Louxing/160/2011_2011-03-14	V
B/Managua/4437.01/2010_2010-10-02	V
B/Missouri/NHRC0001/2003_2003-03-04	V
B/Georgia/01/2011_2011-01-01	V
B/Shiga/51/98_1998	V
B/Tennessee/UR06-0310/2007_2007-02-15	V
B/Tehran/80/02_2002	V
B/Connecticut/07/1993_1993-01-26	V
B/Taiwan/1838/2006_2006-12-30	V
B/Guangdong-Huicheng/1235/2011_2011-06-01	V
B/California/NHRC0001/2006_2006-03-29	V
B/Oita/15/92_1992-10-16	V
B/Managua/1312.01/2010_2010-07-03	V
B/Ohio/UR06-0428/2007_2007-02-26	V
B/Fujian-Xianyou/137/2011_2011-02-18	V
B/Florida/UR06-0006/2006_2006-11-27	V
B/Hong_Kong/1351/02_2002-01-17	V
B/Ann_Arbor/1/1986_1986	V
B/Shanghai-Hongkou/1255/2011_2011-05-06	V
B/Fujian-Gulou/1272/2008_2008	V
B/Florida/UR06-0003/2006_2006-11-16	V
B/Florida/UR06-0002/2006_2006-11-15	V
B/Temple/B17/2003_2003	V
B/Florida/UR06-0001/2006_2006-11-13	V
B/Guangxi-Xixiangtang/1545/2010_2010-08-16	V
B/Managua/1361.01/2010_2010-07-22	V
B/Nevada/12/2011_2011-03-14	V
B/South_Carolina/04/2003_2003-02-06	V
B/Tennessee/UR06-0079/2007_2007-01-26	V
B/Norway/1/84_1984	V
B/Houston/B87/2003_2003-01-19	V
B/Iowa/03/2002_2002-03-19	V
B/Wisconsin/03/2012_2012	V
B/Managua/2037.01/2010_2010-08-28	V
B/California/NHRC0005/2006_2006-02-28	V
B/Vietnam/92/2011_2011-03-22	V
B/Taiwan/417/2005_2005-01-28	V
B/Shanghai-Jingan/1392/2011_2011-04-18	V
