state	root	nonSwedish
9660000	1929.1102767177463	1992.2720591479617
9680000	1921.4846127716532	1998.7666510187157
9700000	None	1994.3709797583538
9720000	1950.7272216138726	1997.939595147857
9740000	1927.7543747788036	1999.0338998807879
9760000	1925.214163809052	1994.7044264945432
9780000	None	1994.402312753016
9800000	None	2000.7125804828102
9820000	1937.7375466165272	1996.5643990860692
9840000	None	1999.2936447146203
9860000	1948.461290840493	2000.2612107452298
9880000	1947.9070693079548	2002.2759074364003
9900000	None	1999.783872333553
9920000	None	2004.417814885394
9940000	None	2004.3407719614543
9960000	None	2000.5620790979583
9980000	1939.7564885351844	2003.4010122028503
10000000	None	2000.9280904054046
10020000	1951.1690315178598	2005.4470324004867
10040000	1949.7101465067367	2004.915099415246
10060000	None	2001.9362121733714
10080000	None	2003.7921765037972
10100000	1960.7254680750916	2004.1938003426928
10120000	1962.8033056519832	2005.4471126119865
10140000	1961.8763030052157	2002.0753156531864
10160000	None	2001.0482128884205
10180000	1944.954713005938	2004.2488429719594
10200000	1971.119860780597	2006.5913694432215
10220000	1965.5376629536083	2002.7954595289116
10240000	1951.1657019517945	2005.040263512905
10260000	1936.393971590523	2003.8119884588484
10280000	1965.1697382269476	2004.262548226911
10300000	1944.423664659565	2004.2342864249567
10320000	1966.7945875610812	2006.6844361807293
10340000	1963.669118088445	2002.1402943811256
10360000	1947.6033899285449	1997.6337357786936
10380000	1954.5056028856732	2000.5036195895134
10400000	1941.8147095434533	1998.2951294786435
10420000	1955.773683212245	1999.7315824631196
10440000	1947.8461309096006	2004.4591485876085
10460000	1941.8584850786576	1997.0537312322226
10480000	1944.5311580956832	2002.6797708035517
10500000	1955.4835582586516	2005.1642480765863
10520000	1953.7573706357807	2004.3399432432989
10540000	1947.89186840415	2002.032056999798
10560000	None	1999.5863302831813
10580000	1951.9729567603354	2003.226482002398
10600000	1936.4390683080865	2003.6985986011675
10620000	1959.9699861338474	2001.265091359744
10640000	1952.6379399651944	2001.3245449937185
10660000	1959.1338413184712	1999.6192092314955
10680000	1938.4221024198932	2002.4662649029838
10700000	None	2005.0585332935912
10720000	None	2002.0645573469828
10740000	1967.6218262779335	2005.9836953306174
10760000	None	2003.5066825276413
10780000	1930.5867578918176	1997.8669571922735
10800000	1966.4273002697655	2003.8459783001529
10820000	1949.9501912875537	2003.0873046398137
10840000	1946.5391294693716	2001.6952229951012
10860000	None	2002.5721804950917
10880000	1946.0406638295347	2005.0045829614046
10900000	1953.8828956949776	2001.0678775740398
10920000	1942.3805882662548	2003.0081765779878
10940000	None	2003.9330476248076
10960000	1963.0321047907116	2004.9220611335054
10980000	1969.55185498707	2005.395020170276
11000000	None	2005.2403607174751
11020000	1952.8040268938755	2003.9582415656764
11040000	1951.6599719612661	2003.438081329978
11060000	None	2004.4074219353838
11080000	1957.4076710196834	2004.005508858866
11100000	1951.8333458006514	2002.272549628386
11120000	1949.3584974960543	2003.729441384957
11140000	1951.7291014414363	2002.710179042097
11160000	1962.5420830929477	2004.5291658478354
11180000	1962.4120259218705	2005.698071732556
11200000	None	2005.409785346198
11220000	1958.9759614777265	2003.9531306096828
11240000	1955.7898070557414	2004.079387270885
11260000	1961.8108094033385	2004.5198062771756
11280000	1960.3169161988312	2005.495019360524
11300000	1951.5867898276394	2003.2731600684617
11320000	1942.6058037890698	2001.9609519389837
11340000	1940.5053435681043	2001.805000410492
11360000	1945.3365307726933	2002.1392959664415
11380000	1937.4767315654258	2000.3570177366896
11400000	1947.7929885328824	2000.7300283089003
11420000	1944.870475108944	2000.3225600532537
11440000	1940.8997038926937	2002.107640162483
11460000	None	2004.6892340477934
11480000	1956.4617806604551	2004.368406967029
11500000	1974.7089079841398	2006.5814971694454
11520000	1953.7057373278728	2006.4801932156056
11540000	1965.2336389429374	2007.2347127053406
11560000	1967.2968241130889	2007.1636389619532
11580000	1962.3646146146048	2005.8129414345199
11600000	1954.0455259964458	2004.1141799146594
11620000	1956.0136113610013	2005.694735684349
11640000	1955.1167220358911	2004.1338689572124
11660000	1965.726938627061	2005.7712763771688
11680000	None	2004.659582412849
11700000	None	2005.7158789262185
11720000	None	2005.4944967671136
11740000	1958.7485772024602	2004.472919077302
11760000	None	2005.112948442026
11780000	1957.8342963434147	2003.8084278971053
11800000	None	2002.3528510288554
11820000	None	2004.131203612096
11840000	None	2003.8197835427893
11860000	None	2004.4687230348686
11880000	None	2004.2949594301137
11900000	1959.2945237869365	2002.9683560460767
11920000	None	2001.7632493922251
11940000	1948.947922768512	2003.4057871852706
11960000	1951.616457066775	2003.1057820214498
11980000	1962.032056075111	2000.455219758951
12000000	1957.2645491214712	2003.1305408370931
12020000	1953.4623343172402	2001.9732085725
12040000	1945.2985409872178	2001.3964825349003
12060000	1948.6441175690393	2002.4053318168103
12080000	None	2002.7310788217746
12100000	None	2003.7195155243287
